,date,ipsrc,ipdst,protocol,portdst
Apr-29, 2019 18:53:52.694263000,185.176.27.174,193.194.76.250,6,45023
Apr-29, 2019 18:53:52.920647000,185.208.208.198,193.194.76.235,6,154
Apr-29, 2019 18:53:56.377164000,120.52.152.18,193.194.76.254,6,523
Apr-29, 2019 18:53:57.246620000,222.73.44.198,193.194.76.236,6,445
Apr-29, 2019 18:54:00.497764000,125.193.202.26,193.194.76.237,6,80
Apr-29, 2019 18:54:00.584189000,202.79.4.45,193.194.76.229,6,445
Apr-29, 2019 18:54:00.998215000,94.249.17.157,193.194.76.249,6,23
Apr-29, 2019 18:54:01.796334000,188.246.224.44,193.194.76.254,6,9833
Apr-29, 2019 18:54:01.919907000,184.105.139.91,193.194.76.252,6,8080
Apr-29, 2019 18:54:03.126900000,197.43.94.85,193.194.76.233,6,23
Apr-29, 2019 18:54:03.527330000,125.193.202.26,193.194.76.237,6,80
Apr-29, 2019 18:54:06.495080000,196.52.43.97,193.194.76.236,6,5986
Apr-29, 2019 18:54:13.124608000,196.52.43.56,193.194.76.236,6,3389
Apr-29, 2019 18:54:14.941307000,89.248.162.168,193.194.76.236,6,9028
Apr-29, 2019 18:54:15.269931000,194.93.59.13,193.194.76.224,6,7789
Apr-29, 2019 18:54:15.877908000,185.142.236.34,193.194.76.225,6,119
Apr-29, 2019 18:54:18.351306000,58.35.75.67,193.194.76.254,6,22
Apr-29, 2019 18:54:21.803675000,209.126.230.71,193.194.76.230,6,4961
Apr-29, 2019 18:54:23.892286000,184.105.139.125,193.194.76.248,6,8080
Apr-29, 2019 18:54:25.166247000,88.147.109.191,193.194.76.225,6,80
Apr-29, 2019 18:54:26.413317000,194.93.59.13,193.194.76.229,6,7789
Apr-29, 2019 18:54:26.413325000,194.93.59.13,193.194.76.239,6,7789
Apr-29, 2019 18:54:26.513542000,193.194.103.77,193.194.76.225,6,7547
Apr-29, 2019 18:54:26.973019000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 18:54:27.513781000,193.194.103.77,193.194.76.250,6,23
Apr-29, 2019 18:54:27.727459000,185.176.27.162,193.194.76.231,6,10474
Apr-29, 2019 18:54:30.182697000,89.248.174.3,193.194.76.254,6,1311
Apr-29, 2019 18:54:34.279002000,185.176.27.2,193.194.76.250,6,3333
